SDN,CRUISE,STATION,LON,LAT,date,lon_W
739130.547326675,1902601,28,-25.3769796666667,12.2885251666667,2023-08-01,-25.3769796666667
739139.541759544,1902601,29,-25.4778475,12.0403913333333,2023-00-10,-25.4778475
739148.558391494,1902601,30,-25.5185451666667,11.7118398333333,2023-24-19,-25.5185451666667
739157.555648438,1902601,31,-25.5168021666667,11.3362348333333,2023-20-28,-25.5168021666667
739166.557048901,1902601,32,-25.430238,11.0250885,2023-22-07,-25.430238
739175.552870658,1902601,33,-25.3300936666667,11.0097798333333,2023-16-16,-25.3300936666667
739184.557037327,1902601,34,-25.3417773333333,11.1802653333333,2023-22-25,-25.3417773333333
739193.558426216,1902601,35,-25.4913681666667,11.3331345,2023-24-03,-25.4913681666667
739202.557048896,1902601,36,-25.6525131666667,11.4539391666667,2023-22-12,-25.6525131666667
739204.057187672,1902601,37,-25.701876,11.4644126666667,2023-22-14,-25.701876
739213.552824378,1902601,38,-25.935781,11.3703716666667,2023-16-23,-25.935781
739222.559826649,1902601,39,-26.0910128333333,11.1195811666667,2023-26-02,-26.0910128333333
739231.558426216,1902601,40,-26.0801103333333,10.8577606666667,2023-24-11,-26.0801103333333
739240.555648443,1902601,41,-26.023779,10.8142135,2023-20-20,-26.023779
739249.55843779,1902601,42,-26.0595793333333,11.0244951666667,2023-24-29,-26.0595793333333
739258.557037327,1902601,43,-26.127463,11.354459,2024-22-07,-26.127463
739267.552870654,1902601,44,-26.1423995,11.6035411666667,2024-16-16,-26.1423995
739276.554259549,1902601,45,-26.1443293333333,11.6291786666667,2024-18-25,-26.1443293333333
739285.552870654,1902601,46,-26.019899,11.5056696666667,2024-16-03,-26.019899
739294.554259548,1902601,47,-25.6862373333333,11.303304,2024-18-12,-25.6862373333333
739303.55425955,1902601,48,-25.0957381666667,11.4324066666667,2024-18-21,-25.0957381666667
739312.552882229,1902601,49,-24.6469495,11.7462416666667,2024-16-01,-24.6469495
739321.545937782,1902601,50,-24.3917835,11.867962,2024-06-10,-24.3917835
739330.551493339,1902601,51,-24.2569038333333,11.705094,2024-14-19,-24.2569038333333
739339.544548892,1902601,52,-24.250853,11.5106398333333,2024-04-28,-24.250853
739344.547372937,1902601,53,-24.3093573333333,11.5121373333333,2024-08-02,-24.3093573333333
739349.551551178,1902601,54,-24.347827,11.5431933333333,2024-14-07,-24.347827
739354.550162289,1902601,55,-24.4068445,11.6006973333333,2024-12-12,-24.4068445
739359.548761827,1902601,56,-24.4846281666667,11.6404985,2024-10-17,-24.4846281666667
739364.551539608,1902601,57,-24.538951,11.6880246666667,2024-14-22,-24.538951
739369.55431739,1902601,58,-24.6218385,11.7516561666667,2024-18-27,-24.6218385
739374.557095164,1902601,59,-24.66628,11.814507,2024-22-02,-24.66628
739379.554317382,1902601,60,-24.7209113333333,11.8362526666667,2024-18-07,-24.7209113333333
739384.550162292,1902601,61,-24.7884888333333,11.8512333333333,2024-12-12,-24.7884888333333
739389.552940067,1902601,62,-24.8703305,11.8356231666667,2024-16-17,-24.8703305
739394.551551178,1902601,63,-25.0074598333333,11.7696121666667,2024-14-22,-25.0074598333333
739399.551504881,1902601,64,-25.1287978333333,11.7297215,2024-14-27,-25.1287978333333
739404.545984048,1902601,65,-25.239489,11.6789303333333,2024-06-01,-25.239489
739409.548761825,1902601,66,-25.3678453333333,11.5794516666667,2024-10-06,-25.3678453333333
739414.557060439,1902601,67,-25.4633863333333,11.4876913333333,2024-22-11,-25.4633863333333
739419.547372934,1902601,68,-25.4657941666667,11.405575,2024-08-16,-25.4657941666667
739424.559872933,1902601,69,-25.4333015,11.367728,2024-26-21,-25.4333015
739429.55292849,1902601,70,-25.4119555,11.3268893333333,2024-16-26,-25.4119555
739434.547361407,1902601,71,-25.3725706666667,11.3197873333333,2024-08-01,-25.3725706666667
739439.55017381,1902601,72,-25.3354496666667,11.2820403333333,2024-12-06,-25.3354496666667
739448.551493335,1902601,73,-25.2779,11.3066016666667,2024-14-15,-25.2779
739457.555659999,1902601,74,-25.2882631666667,11.4859696666667,2024-20-24,-25.2882631666667
739466.550092869,1902601,75,-25.4175843333333,11.8943086666667,2024-12-02,-25.4175843333333
739056.891759259,1902637,1,-19.1069985,51.0418745,2023-24-19,-19.1069985
739057.620393518,1902637,1,-19.114433,51.1034883333333,2023-53-20,-19.114433
739057.659456018,1902637,2,-19.114433,51.1034883333333,2023-49-20,-19.114433
739058.389479167,1902637,2,-19.1275821666667,51.1979431666667,2023-20-21,-19.1275821666667
739058.432187194,1902637,3,-19.1275821666667,51.1979431666667,2023-22-21,-19.1275821666667
739059.158032749,1902637,3,-19.1059995,51.2752008333333,2023-47-22,-19.1059995
739060.480127123,1902637,4,-19.1282681666667,51.4031788333333,2023-31-23,-19.1282681666667
739063.434780184,1902637,5,-19.106,51.6598485,2023-26-26,-19.106
739066.434780184,1902637,6,-18.9684356666667,51.8947965,2023-26-29,-18.9684356666667
739069.512546478,1902637,7,-18.5577326666667,52.1225186666667,2023-18-02,-18.5577326666667
739072.516724627,1902637,8,-17.9358676666667,52.311576,2023-24-05,-17.9358676666667
739075.519502404,1902637,9,-17.8514175,52.6915025,2023-28-08,-17.8514175
739078.520902867,1902637,10,-18.3625635,52.6676693333333,2023-30-11,-18.3625635
739081.519513981,1902637,11,-18.185086,52.4361598333333,2023-28-14,-18.185086
739084.516747685,1902637,12,-17.653461,52.6728813333333,2023-24-17,-17.653461
739087.516736199,1902637,13,-17.7949413333333,52.9429416666667,2023-24-20,-17.7949413333333
739090.518125094,1902637,14,-18.3307435,52.835434,2023-26-23,-18.3307435
739093.518113515,1902637,15,-18.5769143333333,52.6853293333333,2023-26-26,-18.5769143333333
739096.516724625,1902637,16,-18.5518883333333,52.636333,2023-24-29,-18.5518883333333
739099.515335735,1902637,17,-18.1399865,52.4594605,2023-22-01,-18.1399865
739109.512511745,1902637,18,-17.1537006666667,53.1315601666667,2023-18-11,-17.1537006666667
739119.50975705,1902637,19,-16.5640266666667,53.6917695,2023-14-21,-16.5640266666667
739129.51945618,1902637,20,-16.7141451666667,53.219339,2023-28-31,-16.7141451666667
739139.506944602,1902637,21,-15.7140335,53.4390116666667,2023-10-10,-15.7140335
739149.518067291,1902637,22,-15.8963358333333,53.8090955,2023-26-20,-15.8963358333333
739159.516655283,1902637,23,-15.825579,53.9562773333333,2023-23-30,-15.825579
739169.518078839,1902637,24,-16.5202688333333,54.453456,2023-26-10,-16.5202688333333
739179.516678403,1902637,25,-17.0959155,53.9099881666667,2023-24-20,-17.0959155
739189.516678401,1902637,26,-16.5609016666667,53.4414623333333,2023-24-30,-16.5609016666667
739199.515266402,1902637,27,-16.5680316666667,53.1403608333333,2023-21-09,-16.5680316666667
739201.05650463,1902637,28,-16.4931108333333,53.0951211666667,2023-21-11,-16.4931108333333
739210.518055758,1902637,29,-16.2455246666667,53.2614586666667,2023-26-20,-16.2455246666667
739220.516678376,1902637,30,-15.5957518333333,53.6798426666667,2023-24-30,-15.5957518333333
739230.513889055,1902637,31,-15.6404493333333,54.5443293333333,2023-20-10,-15.6404493333333
739240.506944633,1902637,32,-14.8975565,54.6573653333333,2023-10-20,-14.8975565
739250.511111308,1902637,33,-15.902289,54.8284715,2023-16-30,-15.902289
739260.515266403,1902637,34,-16.462619,54.8015815,2024-21-09,-16.462619
739270.516666861,1902637,35,-16.1474403333333,54.7639908333333,2024-24-19,-16.1474403333333
739280.516643735,1902637,36,-15.9564573333333,54.6065128333333,2024-23-29,-15.9564573333333
739290.511111305,1902637,37,-15.767002,55.2071291666667,2024-16-08,-15.767002
739300.515289521,1902637,38,-16.1789588333333,55.0892693333333,2024-22-18,-16.1789588333333
739310.165104365,1902637,39,-17.4543856666667,54.740999,2024-57-28,-17.4543856666667
739319.417835829,1902637,40,-18.2647753333333,54.3703293333333,2024-01-08,-18.2647753333333
739328.288553426,1902637,41,-18.9273918333333,54.4641103333333,2024-55-17,-18.9273918333333
739337.207222394,1902637,42,-18.7825128333333,54.8219331666667,2024-58-26,-18.7825128333333
739342.560613521,1902637,43,-19.1022541666667,55.045391,2024-27-31,-19.1022541666667
739347.560590432,1902637,44,-19.1013431666667,55.5004988333333,2024-27-05,-19.1013431666667
739352.560601953,1902637,45,-19.7300251666667,56.1586873333333,2024-27-10,-19.7300251666667
739357.556435288,1902637,46,-20.3878395,57.0136763333333,2024-21-15,-20.3878395
739362.560601955,1902637,47,-20.4181838333333,57.5293043333333,2024-27-20,-20.4181838333333
739367.55922464,1902637,48,-20.3532668333333,57.909286,2024-25-25,-20.3532668333333
739372.563379732,1902637,49,-20.191724,58.2119241666667,2024-31-30,-20.191724
739377.559224639,1902637,50,-20.0575756666667,58.2776055,2024-25-05,-20.0575756666667
739382.561990842,1902637,51,-19.4984285,58.3976786666667,2024-29-10,-19.4984285
739387.548101999,1902637,52,-18.9023496666667,58.5873656666667,2024-09-15,-18.9023496666667
